English,Vietnamese
you,bạn
I or I.,I hoặc I.
the,các
and,và
it,nó
of,của
me,tôi
what,gì
is,Là
in,trong
this,điều này
for,vì
no,Không
have,có
don't,đừng
just,chỉ
not,không phải
do,làm
be,là
on,trên
your,của bạn
was,là
we,chúng tôi
it's,nó là
with,với
well,tốt
are,Chúng tôi
he,anh ta
oh,Oh
about,trong khoảng
you're,bạn
get,được
here,đây
out,ngoài
going,đang đi
like,giống
yeah,vâng
her,cô ấy
she,bà ấy
can,có thể
up,lên
think,nghĩ
go,đi
him,anh ta
at,tại
how,làm sao
got,có
there,đó
one,một
did,đã làm
why,tại sao
see,xem
come,đến
good,tốt
they,họ
really,có thật không
as,như
would,sẽ
look,nhìn
when,khi nào
time,thời gian
okay,Được chứ
back,trở lại
can't,không thể
mean,nghĩa là
tell,nói
I'll,tôi sẽ
from,từ
hey,Chào
were,là
didn't,không
yes,Đúng
his,của anh ấy
been,đã
or,hoặc là
something,một cái gì đó
who,WHO
because,bởi vì
some,một số
had,có
then,sau đó
say,Nói
ok,đồng ý
