English,Vietnamese
you,bạn
I or I.,I hoặc I.
to,đến
the,các
a or A.,một hoặc A.
and,và
that,cái đó
it,nó
of,của
me,tôi
what,gì
is,Là
in,trong
this,điều này
know,biết rôi
I'm,tôi
for,vì
no,Không
have,có
my,của tôi
don't,đừng
just,chỉ
not,không phải
do,làm
be,là
on,trên
your,của bạn
was,là
we,chúng tôi
it's,nó là
with,với
so,vì thế
but,nhưng
all,tất cả
well,tốt
are,Chúng tôi
he,anh ta
oh,Oh
about,trong khoảng
right,đúng
you're,bạn
get,được
here,đây
out,ngoài
going,đang đi
like,giống
yeah,vâng
if,nếu
her,cô ấy
she,bà ấy
can,có thể
up,lên
want,muốn
think,nghĩ
that's,mà của
now,hiện nay
go,đi
him,anh ta
at,tại
how,làm sao
got,có
there,đó
one,một
did,đã làm
why,tại sao
see,xem
come,đến
good,tốt
they,họ
really,có thật không
as,như
would,sẽ
look,nhìn
when,khi nào
time,thời gian
will,sẽ
okay,Được chứ
back,trở lại
can't,không thể
mean,nghĩa là
tell,nói
I'll,tôi sẽ
from,từ
hey,Chào
were,là
he's,anh ấy là
could,có thể
didn't,không
yes,Đúng
his,của anh ấy
been,đã
or,hoặc là
something,một cái gì đó
who,WHO
because,bởi vì
some,một số
had,có
then,sau đó
say,Nói
ok,đồng ý
